,,,,,
,الشركة,المقر (المدينة/المنطقة),العنوان التفصيلي (إن وُجد),الموقع الإلكتروني,
,MENA Venture Investments,دبي، الإمارات,2302 A Business Central Towers، Media City، دبي pitchbook+1,https://menavc.com,
,Global Ventures Africa,دبي، الإمارات,6 Falak Building، Dubai Internet City، ص.ب 500660، دبي global,https://global.vc,
,Nuwa Capital,دبي، الإمارات,"Unit IH-00-01-08-OF-02, Level 8, DIFC، ص.ب 507191، دبي arabianwallstreet",https://nuwacapital.io,
,COTU Ventures,دبي، الإمارات,One Central، دبي / المبنى 12، شارع الراية، سيتي ووك، دبي cbinsights+2,https://www.cotu.vc,
,VentureSouq,دبي، الإمارات,OneJLT Building، الطابق الثاني، JLT، دبي sharikatmubasher+1,https://www.venturesouq.com,
,MENA Tech Fund,لندن، المملكة المتحدة (مقر رئيسي),1 Frederick’s Place، London EC2R 8AE cbinsights+1,https://menatechfund.com,
,DASH Ventures,دبي، الإمارات (مقر إقليمي),دبي، الإمارات (مكتب رئيسي مُدرَج في دبي) privateequityinternational+2,https://dashventures.com,
,Sarmayacar,الإمارات / المنطقة,مقر إقليمي في دبي/المنطقة (العنوان التفصيلي غير مُعلن بشكل رسمي في المصادر المفتوحة) linkedin,https://www.sarmayacar.com,
,Oraseya Capital,دبي، الإمارات,دبي، الإمارات (العنوان التفصيلي غير مُعلن بشكل رسمي في المصادر المفتوحة) gulfleads,https://oraseya.com,
,Emirates Development Bank – EDB,أبوظبي، الإمارات,Mubadala Tower، Hazza Bin Zayed Street، أبوظبي، ص.ب 51515 edb.gov+2,https://www.edb.gov.ae,
,Emirates Investment Bank,دبي، الإمارات,"Level 15, Festival Tower، Dubai Festival City، ص.ب 5503، دبي lei.bloomberg+2",https://www.emiratesinvestmentbank.com,
,Mubadala Capital,أبوظبي، الإمارات,Al Maryah Island، Al Sila Tower، الطابق 13، أبوظبي sec+2,https://www.mubadalacapital.com,
,Falcon Ventures,الرياض، السعودية,الرياض، السعودية (العنوان التفصيلي غير مُعلن بشكل رسمي في المصادر المفتوحة) emis,https://falcon.ventures,
,Derayah Ventures,الرياض، السعودية,"Second Floor, Olaya Center, Olaya Street، ص.ب 286546، الرياض 11323 cbinsights+2",https://www.derayah.com,
,Sukna Ventures,الرياض، السعودية,"Narjis View, Narjis، الرياض 13336 / Regus, The Esplanade, Prince Turki Ibn Abdulaziz Al Awwal Road، الرياض 12371 cbinsights+2",https://sukna.vc,
,RZM Investment,الرياض، السعودية,"Alhassan bin Ali Street, AlRawdhah (Exit 11)، الرياض 13213 emis+2",https://rzm.com.sa,
,Al-Rumaih Investment,السعودية,العنوان التفصيلي غير مُعلن بشكل رسمي في المصادر المفتوحة (مقر رئيسي في السعودية) emis,https://alrumaih.com,
,Wa'ed Ventures,الظهران، السعودية,"Innovation Cluster Building, Dhahran Techno Valley، الظهران 31311 / 8783 Ibn Alhaitham Street، DTV، الظهران 34464 emis+2",https://www.waed.com,
,SAB Invest,الرياض، السعودية,"RAYA7383, King Fahd Branch Road, Al Yasmeen، ص.ب 13325، الرياض sab+2",https://www.sabinvest.com,
,SNB Capital,الرياض، السعودية,"King Saud Road, Regional Building، ص.ب 22216، الرياض 11495 / King Abdullah Financial Center, King Fahd Road، الرياض 13511 sec+2",https://www.alahlicapital.com,
,ADQ Growth,أبوظبي، الإمارات,Khaleej Al Arabi، Capital Gate Building، ص.ب 164، أبوظبي cbinsights+1,https://www.adq.ae,
,BECO Capital,دبي، الإمارات,"Office 105, Offices 4, One Central، Dubai World Trade Center، ص.ب 333357، دبي cbinsights+2",https://www.becocapital.com,
,Wamda Capital,دبي، الإمارات,"Building 7, 2nd Floor, Office 208B، Dubai Design District (d3)، ص.ب 333231، دبي linkedin+2",https://www.wamda.com,
,Flat6Labs Abu Dhabi,أبوظبي، الإمارات,"Etihad Airways Center، Floor 7، Al Muneera، أبوظبي / Sky Tower, Shams Abu Dhabi, Reem Island, Floor 22 adgm+2",https://flat6labs.com,
,,,,,
,,,,,
,الشركة,المقر (المدينة/المنطقة),العنوان التفصيلي (إن وُجد),الموقع الإلكتروني,
,Vision Ventures,الدمام، السعودية,"2nd Floor, Al-Dabal Commercial Tower (ACT), Prince Mohammad Street، الدمام 32425 pitchbook+2",https://visionventures.co,
,Merak Capital,الرياض، السعودية,"2nd Floor, 6959 Prince Turki Ibn Abdulaziz Al Awwal Rd, Al Mohammadiyyah، الرياض 12364 emis+2",https://merakcapital.com,
,Shorooq Partners – Saudi,أبوظبي (مقر رئيسي) / الرياض (مكتب),"المقر الرئيسي: 14th Floor, Al Sarab Tower, ADGM Square، أبوظبي / مكتب الرياض: Office 16, The Image Plaza, Al Takhassusi Street، الرياض adgm+2",https://www.shorooq.com,
,Sadu Capital,الرياض، السعودية,"Mandrin Business Center, 1st Floor, King Abdulaziz Road, King Salman District، الرياض 12434 privateequityinternational+2",https://saducapital.com,
,RAED Ventures,الرياض، السعودية,"Anas Ibn Malik Road, Al Malqa، الرياض 11564 / Synergy Building، الرياض 13521 privateequityinternational+2",https://raedventures.com,
,Khwarizmi Ventures,الرياض / الدمام، السعودية,"الرياض: Al Aqiq، الرياض 13515 / الدمام: Abu Hafs bn Burd Street, Al Khaldeyah Al Janubiyah، ص.ب 9691، الدمام 31423 pitchbook+2",https://khwarizmiventures.com,
,Hala Auto / Hala Auto Finance,الرياض، السعودية,"6533 Al Olaya، الرياض 12251 / فرع العليا: Al Takhassusi Street, Olaya، الرياض 12311 lei.bloomberg+2",https://hala.com,
,الشركة,المقر (المدينة/المنطقة),العنوان التفصيلي (إن وُجد),الموقع الإلكتروني,
,Egypt Ventures,القاهرة، مصر,"The Greek Campus, 28 Falaki Street, Bab El Louk، القاهرة 11513 pitchbook+2",https://egyptventures.com,
,Alex Angels,الإسكندرية، مصر,"15 Saleh Basha St., Zizenia، الإسكندرية signalhire+2",https://alexangels.com,
,الشركة,المقر (المدينة/المنطقة),العنوان التفصيلي (إن وُجد),الموقع الإلكتروني,
,Acasia Ventures,القاهرة، مصر,"Consoleya, 5 El-Fadl, Bab Al Louq, Abdeen، القاهرة 11513 privateequityinternational+2",https://acasiaventures.com,
,DisrupTech,القاهرة، مصر,"Capital Business Park, B3, 4th Floor, Sheikh Zayed، الجيزة / المقر: القاهرة linkedin+1",https://disruptechfund.com,
,Foundation Ventures,القاهرة، مصر,"Building 10, Road 212, Maadi، القاهرة / 23a Ismail Mohamed Street, El Zamalek، القاهرة cbinsights+2",https://foundationventures.com,
,Algebra Ventures,القاهرة، مصر,القاهرة، مصر (العنوان التفصيلي غير مُعلن بشكل رسمي في المصادر المفتوحة) privateequityinternational,https://algebraventures.com,
,Sawari Ventures,القاهرة، مصر,"1 Dr. Mohamed Sobhy Street, Giza، الجيزة / One Drive Mohamed Sobhy, 4th Floor، القاهرة pitchbook+2",https://www.sawari.com,
,الشركة,المقر (المدينة/المنطقة),العنوان التفصيلي (إن وُجد),الموقع الإلكتروني,
,Launch Africa Ventures,إيبين، موريشيوس,"C/o Apex Fund & Corporate Services, Lot 15 A3, 1st Floor, Cybercity، إيبين 72201 / 6th Floor, GFin Tower, Hotel Street، إيبين pitchbook+2",https://launchafrica.vc,
,Janngo Capital,أبيدجان، ساحل العاج,"57, Rue du Dr Blanchard، أبيدجان cbinsights+2",https://www.janngo.com,
,الشركة,المقر (المدينة/المنطقة),العنوان التفصيلي (إن وُجد),الموقع الإلكتروني,
,Flat6Labs Bahrain,المنامة، البحرين,"15th Floor, NBB Towers, Government Avenue، المنامة naukrigulf+1",https://flat6labs.com,
,Tenmou,المنامة، البحرين,"The Terminal, Block 338, Adliya، المنامة pitchbook+2",https://www.tenmou.me,
,Hope Ventures,المنامة، البحرين,"Building 2102, Road 2825, Flat 1390, Block 428, Al Seef، المنامة / Building 1144, Road 4617, Flat 12، المنامة pitchbook+2",https://hopefund.bh,
,Bahrain Development Bank – BDB,المنامة، البحرين,"Building 170, Road 1703, Diplomatic Area، ص.ب 20501، المنامة wikipedia+2",https://www.bdb-bh.com,
,الشركة,المقر (المدينة/المنطقة),العنوان التفصيلي (إن وُجد),الموقع الإلكتروني,
,Wamda Capital,دبي، الإمارات,"Building 7, 2nd Floor, Office 208B, Dubai Design District (d3)، ص.ب 333231، دبي cbinsights+2",https://www.wamdacapital.com,
,Global Ventures,دبي، الإمارات,"6 Falak Building / The Edge Building, Dubai Internet City، ص.ب 500660، دبي pitchbook+2",https://global.vc,
,BECO Capital,دبي، الإمارات,"Office 105, Offices 4, One Central, Near World Trade Center، دبي",https://www.becocapital.com,
,Shorooq Partners,أبوظبي، الإمارات,"14th Floor, Al Sarab Tower, ADGM Square, Al Maryah Island، أبوظبي",https://www.shorooq.com,
,Plus VC,أبوظبي، الإمارات,"14th Floor, WeWork Hub71, Al Khatem Tower, ADGM Square, Al Maryah Island، أبوظبي adgm+2",https://www.plus.vc,
,VentureFriends,أثينا، اليونان (مقر رئيسي),المقر الرئيسي: أثينا، اليونان / يستثمر في MENA بما فيها الإمارات، لكن لا مقر رسمي مُعلن في دبي privateequityinternational+2,https://venturefriends.vc,
,MEVP (Middle East Venture Partners),دبي، الإمارات,"Emirates Financial Towers, South Tower, Suite 2402, DIFC، دبي / North Tower, Suite 703, DIFC sec+2",https://www.mevp.com,
,Watar Partners,دبي / الرياض,"دبي: Suite 105, Offices 5, One Central, Sheikh Zayed Road، دبي / الرياض (مقر رئيسي): Masharik Tower, 3rd Floor, King Fahd Road، الرياض adgm+2",https://watarpartners.com,
,Mubadala,أبوظبي، الإمارات,"P.O. Box 45005، أبوظبي / Al Maryah Island, Al Sila Tower، أبوظبي",https://www.mubadala.com,
,ADQ,أبوظبي، الإمارات,"Khaleej Al Arabi, Capital Gate Building, P.O. Box 164، أبوظبي",https://www.adq.ae,
